Naive-Bayes,0.503,0.372,0.509,0.503,0.435,0.148,0.651,0.555,WeightedAverage
Bayes-Network,0.409,0.250,0.523,0.409,0.385,0.155,0.656,0.557,WeightedAverage
Decision-Tree,0.472,0.352,0.489,0.472,0.478,0.120,0.564,0.466,WeightedAverage
Random-Forest,0.425,0.259,0.532,0.425,0.385,0.161,0.659,0.560,WeightedAverage
Adabost-Trees,0.511,0.381,0.496,0.511,0.502,0.133,0.605,0.515,WeightedAverage
MultilayerPerceptronClassifier-2,0.404,0.243,0.551,0.404,0.373,0.158,0.661,0.564,WeightedAverage
MultilayerPerceptronClassifier-4,0.401,0.240,0.559,0.401,0.380,0.164,0.654,0.556,WeightedAverage
MultilayerPerceptronClassifier-8,0.401,0.240,0.559,0.401,0.380,0.164,0.654,0.556,WeightedAverage
